United Airlines_unscaled,United Airlines_monthly,isPartial,scale,United Airlines
85,68,,0.68,57.800000000000004
77,68,,0.68,52.36000000000001
72,71,FALSE,0.71,51.12
81,71,,0.71,57.51
98,71,,0.71,69.58
100,71,,0.71,71
89,71,,0.71,63.19
80,71,,0.71,56.8
74,71,,0.71,52.54
73,70,FALSE,0.7,51.099999999999994
87,70,,0.7,60.9
77,70,,0.7,53.9
82,70,,0.7,57.4
82,70,,0.7,57.4
76,70,,0.7,53.199999999999996
70,70,,0.7,49
74,78,FALSE,0.78,57.72
84,78,,0.78,65.52
92,78,,0.78,71.76
98,78,,0.78,76.44
100,78,,0.78,78
87,78,,0.78,67.86
86,78,,0.78,67.08
76,74,FALSE,0.74,56.24
86,74,,0.74,63.64
83,74,,0.74,61.42
79,74,,0.74,58.46
76,74,,0.74,56.24
69,74,,0.74,51.06
65,74,,0.74,48.1
71,69,FALSE,0.69,48.989999999999995
77,69,,0.69,53.129999999999995
85,69,,0.69,58.65
79,69,,0.69,54.51
74,69,,0.69,51.059999999999995
63,69,,0.69,43.47
60,69,,0.69,41.4
72,66,FALSE,0.66,47.52
75,66,,0.66,49.5
73,66,,0.66,48.18
82,66,,0.66,54.120000000000005
73,66,,0.66,48.18
76,66,,0.66,50.160000000000004
74,66,,0.66,48.84
87,72,FALSE,0.72,62.64
88,72,,0.72,63.36
80,72,,0.72,57.599999999999994
90,72,,0.72,64.8
86,72,,0.72,61.919999999999995
78,72,,0.72,56.16
73,72,,0.72,52.559999999999995
72,66,FALSE,0.66,47.52
81,66,,0.66,53.46
85,66,,0.66,56.1
78,66,,0.66,51.480000000000004
83,66,,0.66,54.78
76,66,,0.66,50.160000000000004
63,66,,0.66,41.580000000000005
62,71,FALSE,0.71,44.019999999999996
92,71,,0.71,65.32
100,71,,0.71,71
90,71,,0.71,63.9
87,71,,0.71,61.769999999999996
75,71,,0.71,53.25
68,71,,0.71,48.28
66,67,FALSE,0.67,44.220000000000006
75,67,,0.67,50.25
86,67,,0.67,57.620000000000005
85,67,,0.67,56.95
77,67,,0.67,51.59
72,67,,0.67,48.24
68,67,,0.67,45.56
58,64,FALSE,0.64,37.12
72,64,,0.64,46.08
74,64,,0.64,47.36
70,64,,0.64,44.800000000000004
69,64,,0.64,44.160000000000004
59,64,,0.64,37.76
56,64,,0.64,35.84
52,68,FALSE,0.68,35.36
73,68,,0.68,49.64
74,68,,0.68,50.32
71,68,,0.68,48.28
64,68,,0.68,43.52
58,68,,0.68,39.440000000000005
56,68,,0.68,38.080000000000005
59,74,FALSE,0.74,43.66
69,74,,0.74,51.06
71,74,,0.74,52.54
66,74,,0.74,48.839999999999996
66,74,,0.74,48.839999999999996
63,74,,0.74,46.62
62,74,,0.74,45.88
65,83,FALSE,0.83,53.949999999999996
100,83,,0.83,83
88,83,,0.83,73.03999999999999
69,83,,0.83,57.269999999999996
66,83,,0.83,54.779999999999994
61,83,,0.83,50.629999999999995
54,83,,0.83,44.82
58,73,FALSE,0.73,42.339999999999996
58,73,,0.73,42.339999999999996
74,73,,0.73,54.019999999999996
88,73,,0.73,64.24
99,73,,0.73,72.27
86,73,,0.73,62.78
80,73,,0.73,58.4
75,68,FALSE,0.68,51.00000000000001
