Kaiser Permanente_unscaled,Kaiser Permanente_monthly,isPartial,scale,Kaiser Permanente
44,50.0,,0.5,22.0
52,50.0,,0.5,26.0
46,50.0,,0.5,23.0
48,61.0,False,0.61,29.28
93,61.0,,0.61,56.73
96,61.0,,0.61,58.56
97,61.0,,0.61,59.17
100,61.0,,0.61,61.0
89,61.0,,0.61,54.29
54,61.0,,0.61,32.94
47,61.0,False,0.61,28.669999999999998
91,61.0,,0.61,55.51
95,61.0,,0.61,57.949999999999996
94,61.0,,0.61,57.339999999999996
90,61.0,,0.61,54.9
86,61.0,,0.61,52.46
55,61.0,,0.61,33.55
46,58.0,False,0.58,26.68
89,58.0,,0.58,51.62
95,58.0,,0.58,55.099999999999994
88,58.0,,0.58,51.04
86,58.0,,0.58,49.879999999999995
87,58.0,,0.58,50.459999999999994
53,58.0,,0.58,30.74
41,53.0,False,0.53,21.73
85,53.0,,0.53,45.050000000000004
89,53.0,,0.53,47.17
80,53.0,,0.53,42.400000000000006
82,53.0,,0.53,43.46
68,53.0,,0.53,36.04
38,53.0,,0.53,20.14
29,54.0,False,0.54,15.66
56,54.0,,0.54,30.240000000000002
87,54.0,,0.54,46.980000000000004
92,54.0,,0.54,49.68000000000001
93,54.0,,0.54,50.220000000000006
78,54.0,,0.54,42.120000000000005
52,54.0,,0.54,28.080000000000002
41,63.0,False,0.63,25.830000000000002
71,63.0,,0.63,44.73
100,63.0,,0.63,63.0
95,63.0,,0.63,59.85
92,63.0,,0.63,57.96
83,63.0,,0.63,52.29
51,63.0,,0.63,32.13
44,61.0,False,0.61,26.84
86,61.0,,0.61,52.46
93,61.0,,0.61,56.73
84,61.0,,0.61,51.24
79,61.0,,0.61,48.19
81,61.0,,0.61,49.41
54,61.0,,0.61,32.94
42,60.0,False,0.6,25.2
64,60.0,,0.6,38.4
88,60.0,,0.6,52.8
87,60.0,,0.6,52.199999999999996
86,60.0,,0.6,51.6
80,60.0,,0.6,48.0
50,60.0,,0.6,30.0
39,59.0,False,0.59,23.009999999999998
78,59.0,,0.59,46.019999999999996
87,59.0,,0.59,51.33
88,59.0,,0.59,51.919999999999995
81,59.0,,0.59,47.79
78,59.0,,0.59,46.019999999999996
