Golden State Warriors_unscaled,Golden State Warriors_monthly,isPartial,scale,Golden State Warriors
100,100.0,,1.0,100.0
13,100.0,,1.0,13.0
9,18.0,False,0.18,1.62
10,18.0,,0.18,1.7999999999999998
6,18.0,,0.18,1.08
4,18.0,,0.18,0.72
4,18.0,,0.18,0.72
6,18.0,,0.18,1.08
3,18.0,,0.18,0.54
3,11.0,False,0.11,0.33
3,11.0,,0.11,0.33
3,11.0,,0.11,0.33
3,11.0,,0.11,0.33
4,11.0,,0.11,0.44
96,11.0,,0.11,10.56
100,11.0,,0.11,11.0
82,11.0,False,0.11,9.02
87,11.0,,0.11,9.57
69,11.0,,0.11,7.59
57,11.0,,0.11,6.2700000000000005
50,11.0,,0.11,5.5
49,11.0,,0.11,5.39
53,11.0,,0.11,5.83
50,8.0,False,0.08,4.0
55,8.0,,0.08,4.4
39,8.0,,0.08,3.12
44,8.0,,0.08,3.52
43,8.0,,0.08,3.44
43,8.0,,0.08,3.44
47,8.0,,0.08,3.76
51,7.0,False,0.07,3.5700000000000003
39,7.0,,0.07,2.7300000000000004
37,7.0,,0.07,2.5900000000000003
38,7.0,,0.07,2.66
54,7.0,,0.07,3.78
34,7.0,,0.07,2.3800000000000003
36,7.0,,0.07,2.5200000000000005
33,6.0,False,0.06,1.98
35,6.0,,0.06,2.1
53,6.0,,0.06,3.1799999999999997
41,6.0,,0.06,2.46
31,6.0,,0.06,1.86
30,6.0,,0.06,1.7999999999999998
33,6.0,,0.06,1.98
31,5.0,False,0.05,1.55
64,5.0,,0.05,3.2
87,5.0,,0.05,4.3500000000000005
99,5.0,,0.05,4.95
69,5.0,,0.05,3.45
65,5.0,,0.05,3.25
73,5.0,,0.05,3.65
84,5.0,False,0.05,4.2
63,5.0,,0.05,3.1500000000000004
68,5.0,,0.05,3.4000000000000004
56,5.0,,0.05,2.8000000000000003
55,5.0,,0.05,2.75
64,5.0,,0.05,3.2
80,5.0,,0.05,4.0
69,5.0,False,0.05,3.45
60,5.0,,0.05,3.0
65,5.0,,0.05,3.25
68,5.0,,0.05,3.4000000000000004
70,5.0,,0.05,3.5
68,5.0,,0.05,3.4000000000000004
56,5.0,,0.05,2.8000000000000003
55,5.0,False,0.05,2.75
60,5.0,,0.05,3.0
50,5.0,,0.05,2.5
96,5.0,,0.05,4.800000000000001
100,5.0,,0.05,5.0
62,5.0,,0.05,3.1
74,5.0,,0.05,3.7
82,5.0,False,0.05,4.1000000000000005
56,5.0,,0.05,2.8000000000000003
53,5.0,,0.05,2.6500000000000004
47,5.0,,0.05,2.35
44,5.0,,0.05,2.2
38,5.0,,0.05,1.9
42,5.0,,0.05,2.1
41,4.0,False,0.04,1.64
40,4.0,,0.04,1.6
39,4.0,,0.04,1.56
34,4.0,,0.04,1.36
37,4.0,,0.04,1.48
41,4.0,,0.04,1.64
55,4.0,,0.04,2.2
50,5.0,False,0.05,2.5
35,5.0,,0.05,1.75
73,5.0,,0.05,3.65
38,5.0,,0.05,1.9
42,5.0,,0.05,2.1
38,5.0,,0.05,1.9
47,5.0,,0.05,2.35
42,4.0,False,0.04,1.68
48,4.0,,0.04,1.92
40,4.0,,0.04,1.6
35,4.0,,0.04,1.4
42,4.0,,0.04,1.68
68,4.0,,0.04,2.72
53,4.0,,0.04,2.12
50,6.0,False,0.06,3.0
49,6.0,,0.06,2.94
51,6.0,,0.06,3.06
49,6.0,,0.06,2.94
48,6.0,,0.06,2.88
100,6.0,,0.06,6.0
14,6.0,,0.06,0.84
17,7.0,False,0.07,1.1900000000000002
13,7.0,,0.07,0.91
13,7.0,,0.07,0.91
14,7.0,,0.07,0.98
15,7.0,,0.07,1.05
15,7.0,,0.07,1.05
16,7.0,,0.07,1.12
24,12.0,False,0.12,2.88
26,12.0,,0.12,3.12
14,12.0,,0.12,1.68
22,12.0,,0.12,2.6399999999999997
16,12.0,,0.12,1.92
22,12.0,,0.12,2.6399999999999997
33,12.0,,0.12,3.96
21,21.0,False,0.21,4.41
18,21.0,,0.21,3.78
23,21.0,,0.21,4.83
100,21.0,,0.21,21.0
24,21.0,,0.21,5.04
25,21.0,,0.21,5.25
62,21.0,,0.21,13.02
28,20.0,False,0.2,5.6000000000000005
48,20.0,,0.2,9.6
24,20.0,,0.2,4.800000000000001
61,20.0,,0.2,12.2
21,20.0,,0.2,4.2
44,20.0,,0.2,8.8
30,20.0,,0.2,6.0
52,19.0,False,0.19,9.88
30,19.0,,0.19,5.7
45,19.0,,0.19,8.55
79,19.0,,0.19,15.01
52,19.0,,0.19,9.88
86,19.0,,0.19,16.34
87,19.0,,0.19,16.53
43,14.0,False,0.14,6.0200000000000005
39,14.0,,0.14,5.460000000000001
75,14.0,,0.14,10.500000000000002
33,14.0,,0.14,4.62
37,14.0,,0.14,5.180000000000001
38,14.0,,0.14,5.32
100,14.0,,0.14,14.000000000000002
43,17.0,False,0.17,7.31
75,17.0,,0.17,12.750000000000002
