JPMorgan Chase_unscaled,JPMorgan Chase_monthly,isPartial,scale,JPMorgan Chase
71,25.0,,0.25,17.75
73,25.0,,0.25,18.25
73,25.0,,0.25,18.25
56,25.0,,0.25,14.0
32,25.0,,0.25,8.0
0,25.0,,0.25,0.0
24,26.0,False,0.26,6.24
58,26.0,,0.26,15.08
80,26.0,,0.26,20.8
54,26.0,,0.26,14.04
59,26.0,,0.26,15.34
61,26.0,,0.26,15.86
24,26.0,,0.26,6.24
25,35.0,False,0.35,8.75
55,35.0,,0.35,19.25
79,35.0,,0.35,27.65
82,35.0,,0.35,28.7
54,35.0,,0.35,18.9
54,35.0,,0.35,18.9
34,35.0,,0.35,11.9
28,39.0,False,0.39,10.92
65,39.0,,0.39,25.35
56,39.0,,0.39,21.84
51,39.0,,0.39,19.89
81,39.0,,0.39,31.59
100,39.0,,0.39,39.0
34,39.0,,0.39,13.26
26,33.0,False,0.33,8.58
43,33.0,,0.33,14.19
60,33.0,,0.33,19.8
57,33.0,,0.33,18.81
75,33.0,,0.33,24.75
56,33.0,,0.33,18.48
26,33.0,,0.33,8.58
33,37.0,False,0.37,12.21
78,37.0,,0.37,28.86
70,37.0,,0.37,25.9
53,37.0,,0.37,19.61
64,37.0,,0.37,23.68
72,37.0,,0.37,26.64
47,37.0,,0.37,17.39
23,34.0,False,0.34,7.82
68,34.0,,0.34,23.12
86,34.0,,0.34,29.24
66,34.0,,0.34,22.44
77,34.0,,0.34,26.180000000000003
75,34.0,,0.34,25.500000000000004
49,34.0,,0.34,16.66
41,40.0,False,0.4,16.400000000000002
83,40.0,,0.4,33.2
92,40.0,,0.4,36.8
99,40.0,,0.4,39.6
71,40.0,,0.4,28.4
80,40.0,,0.4,32.0
56,40.0,,0.4,22.4
40,38.0,False,0.38,15.2
67,38.0,,0.38,25.46
89,38.0,,0.38,33.82
100,38.0,,0.38,38.0
82,38.0,,0.38,31.16
97,38.0,,0.38,36.86
48,38.0,,0.38,18.24
47,36.0,False,0.36,16.919999999999998
63,36.0,,0.36,22.68
89,36.0,,0.36,32.04
80,36.0,,0.36,28.799999999999997
77,36.0,,0.36,27.72
98,36.0,,0.36,35.28
47,36.0,,0.36,16.919999999999998
38,36.0,False,0.36,13.68
82,36.0,,0.36,29.52
77,36.0,,0.36,27.72
77,36.0,,0.36,27.72
68,36.0,,0.36,24.48
77,36.0,,0.36,27.72
52,36.0,,0.36,18.72
43,38.0,False,0.38,16.34
64,38.0,,0.38,24.32
80,38.0,,0.38,30.4
100,38.0,,0.38,38.0
66,38.0,,0.38,25.08
77,38.0,,0.38,29.26
51,38.0,,0.38,19.38
32,34.0,False,0.34,10.88
59,34.0,,0.34,20.06
74,34.0,,0.34,25.16
87,34.0,,0.34,29.58
67,34.0,,0.34,22.78
67,34.0,,0.34,22.78
33,34.0,,0.34,11.22
36,37.0,False,0.37,13.32
75,37.0,,0.37,27.75
78,37.0,,0.37,28.86
75,37.0,,0.37,27.75
79,37.0,,0.37,29.23
74,37.0,,0.37,27.38
45,37.0,,0.37,16.65
36,33.0,False,0.33,11.88
68,33.0,,0.33,22.44
75,33.0,,0.33,24.75
72,33.0,,0.33,23.76
66,33.0,,0.33,21.78
96,33.0,,0.33,31.68
44,33.0,,0.33,14.52
51,38.0,False,0.38,19.38
90,38.0,,0.38,34.2
95,38.0,,0.38,36.1
90,38.0,,0.38,34.2
77,38.0,,0.38,29.26
86,38.0,,0.38,32.68
55,38.0,,0.38,20.9
47,35.0,False,0.35,16.45
77,35.0,,0.35,26.95
83,35.0,,0.35,29.049999999999997
99,35.0,,0.35,34.65
100,35.0,,0.35,35.0
83,35.0,,0.35,29.049999999999997
39,35.0,,0.35,13.65
43,38.0,False,0.38,16.34
95,38.0,,0.38,36.1
89,38.0,,0.38,33.82
93,38.0,,0.38,35.34
72,38.0,,0.38,27.36
84,38.0,,0.38,31.92
46,38.0,,0.38,17.48
42,33.0,False,0.33,13.86
85,33.0,,0.33,28.05
92,33.0,,0.33,30.360000000000003
73,33.0,,0.33,24.09
85,33.0,,0.33,28.05
62,33.0,,0.33,20.46
44,33.0,,0.33,14.52
35,36.0,False,0.36,12.6
64,36.0,,0.36,23.04
80,36.0,,0.36,28.799999999999997
72,36.0,,0.36,25.92
65,36.0,,0.36,23.4
74,36.0,,0.36,26.64
42,36.0,,0.36,15.12
39,35.0,False,0.35,13.65
66,35.0,,0.35,23.1
80,35.0,,0.35,28.0
63,35.0,,0.35,22.049999999999997
77,35.0,,0.35,26.95
58,35.0,,0.35,20.299999999999997
32,35.0,,0.35,11.2
22,33.0,False,0.33,7.260000000000001
60,33.0,,0.33,19.8
70,33.0,,0.33,23.1
75,33.0,,0.33,24.75
65,33.0,,0.33,21.45
54,33.0,,0.33,17.82
27,33.0,,0.33,8.91
15,37.0,False,0.37,5.55
100,37.0,,0.37,37.0
72,37.0,,0.37,26.64
74,37.0,,0.37,27.38
67,37.0,,0.37,24.79
49,37.0,,0.37,18.13
37,37.0,,0.37,13.69
