Season,Date,Opponent,Result,Record,Hi Points,Hi Rebounds,Hi Assists
2025,"Fri, Apr 11",@ Portland,W 103-86,48-33,Butler III 24,Podziemski 7,Butler III 7
2025,"Sun, Apr 13",vs LA,L 124-119 OT,48-34,Curry 36,Podziemski 7,Butler III 9
2026,"Tue, Oct 21",@ Los Angeles,W 119-109,1-0,Butler III 31,Kuminga 9,Green 9
2026,"Thu, Oct 23",vs Denver,W 137-131 OT,2-0,Curry 42,Green 8,Green 8
2026,"Fri, Oct 24",@ Portland,L 139-119,2-1,Curry 35,Kuminga 8,Green 5
2026,"Mon, Oct 27",vs Memphis,W 131-118,3-1,Kuminga 25,Kuminga 10,Green 10
2026,"Tue, Oct 28",vs LA,W 98-79,4-1,Butler III 21,Post 8,Curry 8
2026,"Thu, Oct 30",@ Milwaukee,L 120-110,4-2,Curry 27,Butler III 10,Green 6
2026,"Sat, Nov 1",@ Indiana,L 114-109,4-3,Curry 24,Green 10,Butler III 7
2026,"Tue, Nov 4",vs Phoenix,W 118-107,5-3,Curry 28,Post 7,Green 8
2026,"Wed, Nov 5",@ Sacramento,L 121-116,5-4,Richard 30,Kuminga 9,Podziemski 9
2026,"Fri, Nov 7",@ Denver,L 129-104,5-5,Green 17,Jackson-Davis 7,Spencer 5
2026,"Sun, Nov 9",vs Indiana,W 114-83,6-5,Butler III 21,Butler III 9,Butler III 7
2026,"Tue, Nov 11",@ Oklahoma City,L 126-102,6-6,Kuminga 13,Jackson-Davis 6,Kuminga 4
2026,"Wed, Nov 12",@ San Antonio,W 125-120,7-6,Curry 46,Butler III 6,Butler III 8
2026,"Fri, Nov 14",@ San Antonio,W 109-108,8-6,Curry 49,Butler III 8,Green 8
2026,"Sun, Nov 16",@ New Orleans,W 124-106,9-6,Moody 32,Green 10,Butler III 10
