Adobe_unscaled,Adobe_monthly,isPartial,scale,Adobe
72,84.0,,0.84,60.48
51,84.0,,0.84,42.839999999999996
53,88.0,False,0.88,46.64
79,88.0,,0.88,69.52
98,88.0,,0.88,86.24
87,88.0,,0.88,76.56
64,88.0,,0.88,56.32
81,88.0,,0.88,71.28
47,88.0,,0.88,41.36
46,86.0,False,0.86,39.56
71,86.0,,0.86,61.06
90,86.0,,0.86,77.4
92,86.0,,0.86,79.12
93,86.0,,0.86,79.98
80,86.0,,0.86,68.8
47,86.0,,0.86,40.42
45,84.0,False,0.84,37.8
74,84.0,,0.84,62.16
85,84.0,,0.84,71.39999999999999
100,84.0,,0.84,84.0
82,84.0,,0.84,68.88
75,84.0,,0.84,63.0
47,84.0,,0.84,39.48
46,83.0,False,0.83,38.18
81,83.0,,0.83,67.22999999999999
87,83.0,,0.83,72.21
95,83.0,,0.83,78.85
88,83.0,,0.83,73.03999999999999
80,83.0,,0.83,66.39999999999999
48,83.0,,0.83,39.839999999999996
46,80.0,False,0.8,36.800000000000004
81,80.0,,0.8,64.8
90,80.0,,0.8,72.0
100,80.0,,0.8,80.0
89,80.0,,0.8,71.2
72,80.0,,0.8,57.6
48,80.0,,0.8,38.400000000000006
48,78.0,False,0.78,37.44
80,78.0,,0.78,62.400000000000006
89,78.0,,0.78,69.42
94,78.0,,0.78,73.32000000000001
84,78.0,,0.78,65.52
71,78.0,,0.78,55.38
46,78.0,,0.78,35.88
44,86.0,False,0.86,37.839999999999996
84,86.0,,0.86,72.24
88,86.0,,0.86,75.67999999999999
89,86.0,,0.86,76.53999999999999
88,86.0,,0.86,75.67999999999999
78,86.0,,0.86,67.08
45,86.0,,0.86,38.7
45,85.0,False,0.85,38.25
91,85.0,,0.85,77.35
91,85.0,,0.85,77.35
95,85.0,,0.85,80.75
97,85.0,,0.85,82.45
83,85.0,,0.85,70.55
47,85.0,,0.85,39.949999999999996
51,87.0,False,0.87,44.37
94,87.0,,0.87,81.78
95,87.0,,0.87,82.65
99,87.0,,0.87,86.13
90,87.0,,0.87,78.3
82,87.0,,0.87,71.34
45,87.0,,0.87,39.15
45,84.0,False,0.84,37.8
87,84.0,,0.84,73.08
92,84.0,,0.84,77.28
93,84.0,,0.84,78.11999999999999
90,84.0,,0.84,75.6
74,84.0,,0.84,62.16
45,84.0,,0.84,37.8
47,87.0,False,0.87,40.89
88,87.0,,0.87,76.56
91,87.0,,0.87,79.17
93,87.0,,0.87,80.91
91,87.0,,0.87,79.17
81,87.0,,0.87,70.47
43,87.0,,0.87,37.41
44,87.0,False,0.87,38.28
87,87.0,,0.87,75.69
97,87.0,,0.87,84.39
100,87.0,,0.87,87.0
86,87.0,,0.87,74.82
85,87.0,,0.87,73.95
45,87.0,,0.87,39.15
46,85.0,False,0.85,39.1
90,85.0,,0.85,76.5
92,85.0,,0.85,78.2
98,85.0,,0.85,83.3
93,85.0,,0.85,79.05
74,85.0,,0.85,62.9
46,85.0,,0.85,39.1
44,83.0,False,0.83,36.519999999999996
86,83.0,,0.83,71.38
100,83.0,,0.83,83.0
95,83.0,,0.83,78.85
87,83.0,,0.83,72.21
81,83.0,,0.83,67.22999999999999
41,83.0,,0.83,34.03
44,79.0,False,0.79,34.760000000000005
80,79.0,,0.79,63.2
89,79.0,,0.79,70.31
91,79.0,,0.79,71.89
85,79.0,,0.79,67.15
72,79.0,,0.79,56.88
43,79.0,,0.79,33.97
41,75.0,False,0.75,30.75
78,75.0,,0.75,58.5
87,75.0,,0.75,65.25
87,75.0,,0.75,65.25
84,75.0,,0.75,63.0
69,75.0,,0.75,51.75
39,75.0,,0.75,29.25
37,71.0,False,0.71,26.27
45,71.0,,0.71,31.95
77,71.0,,0.71,54.669999999999995
95,71.0,,0.71,67.45
99,71.0,,0.71,70.28999999999999
86,71.0,,0.71,61.059999999999995
50,71.0,,0.71,35.5
47,76.0,False,0.76,35.72
86,76.0,,0.76,65.36
94,76.0,,0.76,71.44
98,76.0,,0.76,74.48
100,76.0,,0.76,76.0
76,76.0,,0.76,57.76
46,76.0,,0.76,34.96
48,72.0,False,0.72,34.56
95,72.0,,0.72,68.39999999999999
95,72.0,,0.72,68.39999999999999
92,72.0,,0.72,66.24
94,72.0,,0.72,67.67999999999999
74,72.0,,0.72,53.28
47,72.0,,0.72,33.839999999999996
52,75.0,False,0.75,39.0
74,75.0,,0.75,55.5
93,75.0,,0.75,69.75
93,75.0,,0.75,69.75
88,75.0,,0.75,66.0
73,75.0,,0.75,54.75
52,75.0,,0.75,39.0
50,74.0,False,0.74,37.0
88,74.0,,0.74,65.12
93,74.0,,0.74,68.82
89,74.0,,0.74,65.86
92,74.0,,0.74,68.08
82,74.0,,0.74,60.68
50,74.0,,0.74,37.0
41,69.0,False,0.69,28.29
44,69.0,,0.69,30.36
83,69.0,,0.69,57.269999999999996
98,69.0,,0.69,67.61999999999999
91,69.0,,0.69,62.78999999999999
77,69.0,,0.69,53.129999999999995
48,69.0,,0.69,33.12
46,78.0,False,0.78,35.88
92,78.0,,0.78,71.76
100,78.0,,0.78,78.0
97,78.0,,0.78,75.66
91,78.0,,0.78,70.98
71,78.0,,0.78,55.38
55,78.0,,0.78,42.9
49,77.0,False,0.77,37.730000000000004
90,77.0,,0.77,69.3
94,77.0,,0.77,72.38
91,77.0,,0.77,70.07000000000001
90,77.0,,0.77,69.3
78,77.0,,0.77,60.06
55,77.0,,0.77,42.35
50,76.0,False,0.76,38.0
88,76.0,,0.76,66.88
98,76.0,,0.76,74.48
94,76.0,,0.76,71.44
86,76.0,,0.76,65.36
78,76.0,,0.76,59.28
52,76.0,,0.76,39.52
49,81.0,False,0.81,39.690000000000005
73,81.0,,0.81,59.13
82,81.0,,0.81,66.42
87,81.0,,0.81,70.47
82,81.0,,0.81,66.42
67,81.0,,0.81,54.27
50,81.0,,0.81,40.5
42,77.0,False,0.77,32.34
80,77.0,,0.77,61.6
85,77.0,,0.77,65.45
84,77.0,,0.77,64.68
78,77.0,,0.77,60.06
69,77.0,,0.77,53.13
46,77.0,,0.77,35.42
44,82.0,False,0.82,36.08
83,82.0,,0.82,68.06
93,82.0,,0.82,76.25999999999999
83,82.0,,0.82,68.06
88,82.0,,0.82,72.16
78,82.0,,0.82,63.959999999999994
54,82.0,,0.82,44.279999999999994
41,90.0,False,0.9,36.9
88,90.0,,0.9,79.2
100,90.0,,0.9,90.0
