Rakuten_unscaled,Rakuten_monthly,isPartial,scale,Rakuten
75,27.0,,0.27,20.25
68,27.0,,0.27,18.36
75,27.0,,0.27,20.25
89,27.0,,0.27,24.03
72,27.0,,0.27,19.44
83,29.0,False,0.29,24.069999999999997
90,29.0,,0.29,26.099999999999998
84,29.0,,0.29,24.36
74,29.0,,0.29,21.459999999999997
77,29.0,,0.29,22.33
87,29.0,,0.29,25.229999999999997
67,29.0,,0.29,19.43
71,26.0,False,0.26,18.46
98,26.0,,0.26,25.48
80,26.0,,0.26,20.8
77,26.0,,0.26,20.02
85,26.0,,0.26,22.1
78,26.0,,0.26,20.28
100,26.0,,0.26,26.0
78,27.0,False,0.27,21.060000000000002
83,27.0,,0.27,22.41
93,27.0,,0.27,25.110000000000003
79,27.0,,0.27,21.330000000000002
75,27.0,,0.27,20.25
99,27.0,,0.27,26.73
79,27.0,,0.27,21.330000000000002
77,25.0,False,0.25,19.25
85,25.0,,0.25,21.25
80,25.0,,0.25,20.0
87,25.0,,0.25,21.75
79,25.0,,0.25,19.75
77,25.0,,0.25,19.25
66,25.0,,0.25,16.5
70,26.0,False,0.26,18.2
83,26.0,,0.26,21.580000000000002
72,26.0,,0.26,18.72
89,26.0,,0.26,23.14
78,26.0,,0.26,20.28
80,26.0,,0.26,20.8
77,26.0,,0.26,20.02
78,25.0,False,0.25,19.5
90,25.0,,0.25,22.5
76,25.0,,0.25,19.0
70,25.0,,0.25,17.5
79,25.0,,0.25,19.75
81,25.0,,0.25,20.25
69,25.0,,0.25,17.25
70,28.0,False,0.28,19.6
87,28.0,,0.28,24.360000000000003
99,28.0,,0.28,27.720000000000002
100,28.0,,0.28,28.000000000000004
91,28.0,,0.28,25.480000000000004
80,28.0,,0.28,22.400000000000002
70,28.0,,0.28,19.6
73,25.0,False,0.25,18.25
80,25.0,,0.25,20.0
79,25.0,,0.25,19.75
83,25.0,,0.25,20.75
76,25.0,,0.25,19.0
73,25.0,,0.25,18.25
68,25.0,,0.25,17.0
77,27.0,False,0.27,20.790000000000003
79,27.0,,0.27,21.330000000000002
79,27.0,,0.27,21.330000000000002
80,27.0,,0.27,21.6
81,27.0,,0.27,21.87
80,27.0,,0.27,21.6
79,27.0,,0.27,21.330000000000002
72,23.0,False,0.23,16.560000000000002
83,23.0,,0.23,19.09
94,23.0,,0.23,21.62
88,23.0,,0.23,20.240000000000002
79,23.0,,0.23,18.17
83,23.0,,0.23,19.09
75,23.0,,0.23,17.25
90,25.0,False,0.25,22.5
92,25.0,,0.25,23.0
93,25.0,,0.25,23.25
83,25.0,,0.25,20.75
95,25.0,,0.25,23.75
80,25.0,,0.25,20.0
84,25.0,,0.25,21.0
90,26.0,False,0.26,23.400000000000002
100,26.0,,0.26,26.0
89,26.0,,0.26,23.14
89,26.0,,0.26,23.14
85,26.0,,0.26,22.1
85,26.0,,0.26,22.1
79,26.0,,0.26,20.54
93,23.0,False,0.23,21.39
93,23.0,,0.23,21.39
85,23.0,,0.23,19.55
99,23.0,,0.23,22.77
86,23.0,,0.23,19.78
82,23.0,,0.23,18.86
